customer_id,plan,region,contract_type,tenure_months,monthly_spend,support_tickets,logins_last_30d,churned
54,Pro,South,Annual,31,59.07,2,13,1
55,Pro,West,Monthly,40,54.02,1,9,0
56,Pro,South,Monthly,29,30.58,2,13,0
57,Basic,West,Monthly,31,88.72,5,11,0
58,Pro,West,Monthly,55,69.36,3,11,0
59,Basic,South,Monthly,20,8.83,2,10,0
60,Basic,North,Monthly,30,63.93,2,14,0
61,Pro,South,Monthly,33,52.97,3,9,0
62,Basic,North,Monthly,28,127.27,2,25,0
63,Pro,South,Monthly,58,28.92,1,11,1
64,Pro,East,Monthly,57,,0,8,0
65,Pro,South,Monthly,31,113.3,3,13,1
66,Pro,North,Monthly,27,120.7,1,8,0
67,Pro,South,Monthly,35,57.65,0,10,0
68,Basic,East,Annual,11,61.04,0,13,0
69,Basic,North,Monthly,26,98.49,1,13,0
70,Basic,North,Annual,13,10.19,0,11,0
71,Basic,West,Monthly,9,24.16,0,11,1
72,Basic,North,Monthly,6,71.58,4,11,1
73,Pro,South,Monthly,35,126.5,0,15,0
74,Basic,North,Annual,1,66.93,1,15,0
75,Basic,North,Monthly,39,83.03,1,15,0
76,Basic,South,Monthly,26,114.01,1,13,0
77,Basic,East,Monthly,22,143.21,4,5,0
78,Pro,North,Monthly,46,62.69,0,6,0
79,Pro,North,Annual,32,79.49,2,13,0
80,Pro,North,Monthly,44,134.66,2,11,1
81,Pro,East,Monthly,42,34.33,2,11,0
82,Basic,West,Monthly,2,110.83,1,11,0
83,Pro,North,Monthly,13,49.45,2,10,0
84,Basic,South,Annual,34,83.07,2,16,0
85,Basic,South,Annual,58,72.72,4,16,0
86,Basic,South,Annual,10,51.26,2,10,0
87,Pro,North,Monthly,7,50.51,1,12,0
88,Basic,North,Monthly,56,88.29,1,11,0
89,Basic,East,Monthly,58,109.87,2,10,1
90,Basic,South,Monthly,10,76.11,3,11,1
91,Basic,South,Annual,24,82.1,1,13,0
92,Pro,South,Monthly,37,97.14,2,14,1
93,Basic,West,Monthly,12,50.85,1,11,1
94,Basic,East,Monthly,20,102.19,1,11,0
95,Basic,South,Annual,24,104.58,1,14,0
96,Pro,North,Monthly,38,158.11,0,13,1
97,Basic,West,Annual,19,68.72,0,15,0
98,Basic,West,Annual,25,66.26,0,13,0
99,Basic,North,Annual,18,103.07,2,11,0
100,Enterprise,West,Monthly,45,104.57,1,12,0
101,Enterprise,East,Monthly,10,63.95,3,11,0
102,Pro,North,Monthly,14,67.91,2,8,1
103,Basic,West,Annual,15,96.23,3,10,0
104,Enterprise,North,Annual,54,55.17,0,12,0
105,Pro,North,Monthly,56,67.68,2,13,0
106,Pro,North,Monthly,30,82.69,2,12,0
107,Basic,South,Monthly,10,109.88,1,13,1
108,Basic,East,Monthly,45,61.86,0,13,1
109,Basic,South,Monthly,30,24.73,0,12,0
110,Enterprise,North,Monthly,51,22.5,3,11,0
111,Basic,North,Annual,22,42.22,4,5,0
112,Basic,West,Monthly,59,40.6,2,14,0
113,Basic,West,Monthly,48,75.36,1,13,0
114,Pro,,Monthly,14,44.33,1,9,0
115,Basic,North,Monthly,43,58.92,2,14,0
116,Pro,West,Monthly,17,56.78,0,7,0
117,Pro,East,Monthly,21,66.78,3,9,0
118,Pro,East,Monthly,15,119.68,3,9,0
119,Basic,North,Monthly,41,99.86,3,9,1
120,Pro,West,Monthly,16,80.48,0,6,0
121,Pro,South,Monthly,38,66.17,1,12,0
122,Pro,North,Monthly,35,67.0,1,12,0
123,Basic,North,Monthly,45,89.83,1,14,0
124,Basic,South,Monthly,59,97.53,0,14,0
125,Basic,North,Monthly,1,52.77,0,11,0
126,Basic,South,Monthly,59,81.09,0,9,0
127,Basic,South,Monthly,7,19.05,1,14,0
128,Basic,West,Annual,32,86.35,1,11,0
129,Basic,North,Monthly,21,102.86,0,11,0
130,Pro,East,Monthly,38,71.6,2,13,0
131,Basic,West,Monthly,43,134.5,3,13,1
132,Enterprise,West,Annual,51,53.56,3,5,0
133,Pro,West,Monthly,24,86.52,1,8,0
134,Basic,North,Annual,56,78.93,0,18,0
135,Pro,West,Monthly,20,76.99,1,10,0
136,Basic,West,Annual,13,76.57,1,14,1
137,Enterprise,South,Monthly,23,83.21,1,12,0
138,Basic,South,Monthly,32,105.44,1,15,1
139,Pro,East,Monthly,40,121.33,1,14,1
140,Basic,South,Monthly,50,79.93,1,10,0
141,Basic,South,Annual,14,104.46,0,10,0
142,Basic,West,Annual,18,58.95,0,11,0
143,Enterprise,West,Monthly,56,102.98,0,10,0
144,Pro,,Monthly,26,57.14,0,9,0
145,Basic,West,Monthly,15,112.72,2,13,1
146,Basic,South,Monthly,59,146.32,2,13,0
147,Basic,West,Monthly,27,76.34,1,17,0
148,Basic,East,Monthly,59,14.22,0,5,0
149,Basic,South,Monthly,55,63.56,4,14,0
150,Basic,North,Annual,54,116.96,0,12,0
151,Pro,East,Annual,35,96.59,1,11,0
152,Pro,South,Annual,48,87.47,0,14,0
153,Basic,North,Monthly,57,110.26,0,7,0
154,Pro,,Annual,16,94.53,1,14,0
155,Basic,West,Monthly,3,116.53,0,10,0
156,Pro,North,Monthly,19,107.58,2,10,0
157,Basic,West,Monthly,38,125.65,1,13,0
158,Pro,,Annual,33,90.76,0,6,0
159,Pro,North,Monthly,5,107.16,1,12,0
160,Pro,East,Annual,34,70.79,0,13,0
161,Basic,East,Monthly,11,61.96,1,15,1
162,Enterprise,South,Annual,30,131.2,0,13,0
163,Basic,East,Monthly,34,86.49,1,16,0
164,Basic,South,Annual,38,104.15,2,15,0
165,Pro,South,Monthly,25,83.71,1,9,0
166,Basic,South,Monthly,25,62.4,1,10,0
167,Pro,West,Annual,41,80.33,0,13,0
168,Pro,East,Monthly,45,123.08,3,7,0
169,Basic,South,Monthly,48,96.66,2,17,0
170,Enterprise,West,Annual,20,28.66,2,15,0
171,Basic,West,Monthly,26,73.54,2,16,0
172,Basic,West,Annual,20,133.47,1,13,1
173,Basic,,Monthly,32,73.59,3,17,1
174,Enterprise,South,Annual,8,25.99,1,16,0
175,Basic,West,Monthly,26,136.79,2,11,1
176,Basic,South,Monthly,12,100.47,1,10,0
177,Basic,South,Annual,32,77.9,3,7,0
178,Enterprise,South,Monthly,51,68.86,2,13,0
179,Pro,West,Monthly,59,112.47,3,9,0
180,Pro,East,Monthly,27,63.74,3,8,0
181,Pro,South,Monthly,4,114.45,1,7,1
182,Pro,South,Monthly,14,96.27,1,14,0
183,Basic,South,Monthly,7,87.34,2,6,0
184,Basic,East,Annual,45,84.37,2,11,0
185,Pro,South,Monthly,59,74.75,0,12,1
186,Pro,East,Monthly,33,111.37,0,11,0
187,Basic,South,Monthly,11,54.04,2,7,0
188,Basic,South,Monthly,2,31.34,0,16,0
189,Pro,West,Monthly,58,98.43,1,13,0
190,Basic,,Annual,19,98.94,1,8,0
191,Enterprise,North,Monthly,7,94.41,1,9,0
192,Basic,South,Monthly,11,92.23,3,11,0
193,Basic,East,Annual,16,70.38,0,11,0
194,Pro,North,Monthly,39,103.62,0,14,0
195,Basic,South,Monthly,53,78.63,2,10,0
196,Basic,North,Monthly,17,65.39,0,15,0
197,Pro,East,Monthly,41,70.64,1,15,0
198,Pro,East,Monthly,4,140.62,3,13,0
199,Basic,West,Annual,1,27.95,2,15,1
200,Basic,South,Monthly,4,94.99,1,8,0
201,Pro,West,Monthly,55,29.63,4,12,0
202,Enterprise,North,Monthly,35,76.75,4,14,0
203,Basic,West,Annual,48,66.99,2,12,0
204,Basic,East,Annual,2,17.45,4,9,0
205,Basic,West,Annual,2,91.67,1,10,0
206,Basic,West,Monthly,51,68.6,2,13,0
207,Basic,East,Annual,7,,3,9,0
208,Pro,South,Monthly,10,105.19,2,13,0
209,Basic,East,Monthly,31,123.05,4,10,0
210,Basic,West,Monthly,36,124.7,1,20,1
211,Pro,West,Annual,14,90.77,1,14,0
212,Pro,West,Monthly,27,81.38,1,11,1
213,Basic,North,Monthly,40,119.84,2,9,1
214,Pro,East,Monthly,27,130.47,1,11,1
215,Pro,North,Monthly,23,114.01,1,10,1
216,Pro,East,Annual,5,51.75,1,16,0
217,Basic,West,Annual,27,86.04,1,11,0
218,Basic,North,Monthly,48,93.19,1,7,0
219,Enterprise,East,Monthly,37,25.71,1,10,0
220,Basic,West,Monthly,53,94.08,2,7,0
221,Basic,West,Annual,8,148.19,1,14,0
222,Basic,South,Monthly,1,99.2,1,11,1
223,Pro,North,Monthly,33,124.2,4,15,0
224,Enterprise,West,Monthly,11,85.49,4,16,1
225,Basic,West,Monthly,36,,2,10,1
226,Enterprise,East,Monthly,54,91.44,4,14,0
227,Basic,West,Monthly,20,55.53,0,13,0
228,Pro,North,Annual,33,51.09,0,8,0
229,Pro,East,Monthly,41,117.99,1,13,0
230,Basic,North,Monthly,9,121.17,3,13,0
231,Basic,,Monthly,53,50.27,1,18,0
232,Basic,East,Monthly,12,109.04,1,14,1
233,Enterprise,West,Monthly,48,77.39,0,12,1
234,Pro,East,Monthly,39,90.19,0,12,0
235,Enterprise,North,Annual,9,93.81,1,15,1
236,Pro,North,Monthly,43,109.83,3,10,0
237,Basic,South,Annual,12,82.48,0,18,1
238,Pro,East,Monthly,36,122.3,1,9,0
239,Basic,North,Monthly,57,89.28,2,14,0
240,Basic,West,Monthly,57,98.73,0,5,0
241,Pro,North,Annual,52,55.0,1,9,0
242,Pro,South,Annual,30,144.76,1,8,0
243,Basic,North,Monthly,34,94.09,2,12,0
244,Basic,South,Monthly,18,,0,12,0
245,Pro,South,Monthly,55,31.75,1,14,0
246,Pro,North,Monthly,29,55.32,0,11,1
247,Pro,East,Annual,46,117.14,2,13,0
248,Basic,West,Monthly,22,88.61,1,12,0
249,Basic,West,Monthly,44,22.59,1,8,0
250,Basic,South,Annual,14,111.15,2,12,0
251,Pro,West,Annual,44,63.69,0,14,0
252,Pro,West,Annual,3,122.34,2,16,0
253,Basic,West,Monthly,7,77.36,3,14,0
254,Basic,South,Monthly,21,86.14,2,9,0
255,Basic,West,Monthly,29,115.37,1,9,0
256,Pro,East,Monthly,42,53.08,0,12,1
257,Pro,North,Monthly,22,50.21,2,14,0
258,Basic,South,Monthly,2,74.11,0,10,1
259,Basic,East,Monthly,20,104.82,2,8,1
260,Pro,North,Monthly,26,40.07,0,13,1
261,Basic,South,Monthly,33,29.96,2,10,0
262,Pro,West,Monthly,38,104.71,3,12,1
263,Basic,North,Monthly,15,61.91,2,13,0
264,Basic,South,Monthly,37,68.23,5,17,1
265,Enterprise,North,Annual,38,,1,15,0
266,Basic,East,Annual,46,59.63,0,12,0
267,Basic,North,Monthly,31,79.77,2,16,0
268,Basic,West,Monthly,48,107.91,1,12,0
269,Basic,North,Monthly,14,56.86,1,11,0
270,Basic,West,Monthly,42,129.72,0,14,0
271,Basic,West,Monthly,3,59.46,1,12,1
272,Basic,West,Annual,7,59.51,1,13,0
273,Basic,West,Monthly,52,126.12,2,10,0
274,Pro,North,Monthly,29,86.34,0,18,0
275,Pro,,Annual,37,63.44,0,14,0
276,Basic,East,Monthly,36,75.35,2,11,1
277,Basic,,Monthly,41,120.59,2,13,0
278,Basic,West,Monthly,15,123.99,4,14,1
279,Pro,East,Annual,11,55.5,0,8,0
280,Pro,South,Monthly,3,,0,18,0
281,Basic,North,Monthly,52,82.7,1,15,0
282,Basic,North,Annual,14,50.41,4,13,0
283,Basic,South,Monthly,34,78.33,1,11,0
284,Basic,West,Annual,27,80.16,4,16,1
285,Pro,East,Monthly,10,114.21,3,14,1
286,Basic,South,Monthly,25,116.22,0,17,0
287,Basic,North,Monthly,5,70.12,1,11,0
288,Basic,East,Annual,11,73.58,3,17,0
289,Basic,,Monthly,9,99.93,1,12,1
290,Basic,West,Monthly,49,62.44,2,6,0
291,Pro,East,Annual,34,97.66,0,7,0
292,Basic,East,Monthly,55,77.36,0,11,0
293,Enterprise,West,Annual,26,50.92,2,11,0
294,Basic,South,Monthly,12,51.29,0,10,0
295,Pro,West,Monthly,36,123.41,1,11,1
296,Enterprise,South,Annual,55,75.31,5,4,0
297,Enterprise,North,Annual,32,129.21,0,11,0
298,Pro,South,Monthly,2,64.59,0,14,1
299,Pro,North,Annual,18,88.74,1,22,0
300,Pro,North,Annual,55,151.78,3,9,0
301,Pro,West,Annual,31,48.28,2,9,0
302,Basic,West,Monthly,57,23.07,4,10,1
303,Basic,North,Monthly,31,118.6,2,11,0
304,Basic,West,Monthly,1,55.2,1,13,0
305,Pro,North,Monthly,52,79.38,0,12,0
306,Basic,South,Monthly,46,62.42,1,17,1
307,Basic,East,Monthly,43,88.04,1,10,1
308,Pro,South,Monthly,58,51.48,1,10,0
309,Basic,East,Monthly,12,,1,9,0
310,Basic,West,Monthly,54,93.49,1,3,0
311,Basic,North,Monthly,14,49.75,1,20,1
312,Basic,North,Monthly,58,59.0,3,12,1
313,Basic,West,Annual,12,69.58,2,14,0
314,Basic,East,Annual,33,37.14,3,9,0
315,Basic,East,Monthly,47,67.32,1,12,0
316,Basic,South,Monthly,5,83.56,1,8,0
317,Basic,South,Monthly,4,68.01,3,8,0
318,Pro,East,Monthly,51,,1,10,0
319,Basic,East,Annual,4,79.4,2,12,0
320,Enterprise,North,Monthly,37,60.33,1,12,0
321,Enterprise,,Monthly,56,100.73,1,11,1
322,Basic,East,Monthly,37,123.08,1,10,0
323,Basic,North,Annual,29,66.07,1,19,0
324,Basic,South,Annual,25,94.56,1,12,0
325,Pro,West,Annual,38,72.81,0,9,0
326,Pro,East,Monthly,34,90.96,1,9,0
327,Pro,North,Annual,30,126.97,0,11,0
328,Basic,North,Monthly,10,95.26,1,12,1
329,Pro,East,Monthly,40,26.8,2,10,1
330,Basic,South,Annual,44,93.62,0,12,0
331,Pro,West,Monthly,42,116.99,1,20,0
332,Basic,East,Annual,5,73.35,3,13,0
333,Pro,West,Monthly,42,109.87,3,9,0
334,Pro,North,Monthly,44,59.3,1,12,0
335,Basic,South,Monthly,11,35.43,0,7,0
336,Pro,North,Annual,51,84.24,3,10,0
337,Basic,East,Monthly,31,27.31,1,15,0
338,Pro,North,Annual,28,72.81,2,16,0
339,Basic,South,Monthly,43,118.61,4,14,0
340,Enterprise,South,Annual,31,22.71,1,6,1
341,Basic,North,Monthly,33,41.62,1,14,0
342,Enterprise,North,Monthly,19,49.04,2,13,0
343,Pro,East,Annual,55,78.1,2,12,0
344,Pro,West,Annual,58,69.03,0,9,1
345,Pro,North,Monthly,8,121.97,0,11,0
346,Pro,South,Monthly,44,108.63,2,20,0
347,Enterprise,North,Monthly,2,,2,14,0
348,Basic,West,Annual,22,84.37,0,7,0
349,Pro,South,Monthly,58,91.8,2,12,1
350,Basic,West,Annual,11,54.14,1,20,1
351,Pro,North,Monthly,23,,4,9,1
352,Basic,North,Annual,13,46.64,2,15,0
353,Pro,,Monthly,43,105.06,0,10,0
354,Pro,East,Monthly,28,115.58,1,11,0
355,Basic,West,Monthly,35,86.33,3,12,0
356,Basic,West,Monthly,56,74.71,1,11,0
357,Pro,West,Monthly,31,92.01,2,12,1
358,Pro,East,Monthly,44,5.0,1,10,0
359,Basic,South,Annual,6,89.07,2,9,0
360,Pro,South,Monthly,13,76.6,0,8,0
361,Enterprise,North,Monthly,56,78.48,1,15,0
362,Basic,South,Annual,51,101.2,0,17,0
363,Basic,South,Monthly,39,77.76,2,10,0
364,Basic,North,Monthly,23,,2,14,1
365,Pro,,Annual,12,75.76,0,12,0
366,Basic,East,Annual,51,82.03,1,8,1
367,Pro,South,Annual,47,83.45,2,12,0
368,Pro,West,Annual,15,84.86,0,13,0
369,Basic,South,Monthly,35,111.18,3,13,1
370,Pro,West,Monthly,37,47.42,3,14,0
371,Pro,East,Monthly,29,85.27,2,10,0
372,Basic,North,Annual,55,118.7,2,5,0
373,Basic,North,Annual,8,27.96,0,12,0
374,Basic,East,Monthly,16,85.39,2,8,0
375,Basic,East,Monthly,6,62.44,1,11,1
376,Basic,South,Monthly,41,68.88,0,7,0
377,Enterprise,East,Monthly,38,52.86,2,11,0
378,Basic,West,Annual,59,74.91,2,12,0
379,Basic,South,Monthly,32,135.24,1,7,0
380,Pro,North,Monthly,9,42.07,0,19,0
381,Pro,South,Annual,27,44.91,1,12,0
382,Enterprise,West,Monthly,6,40.94,1,12,0
383,Pro,West,Monthly,40,131.82,3,7,1
384,Basic,West,Monthly,40,66.13,2,17,0
385,Basic,West,Monthly,51,79.23,1,10,0
386,Enterprise,North,Monthly,21,67.92,0,10,1
387,Pro,South,Monthly,19,51.67,2,18,1
388,Enterprise,North,Monthly,5,72.95,2,7,0
389,Basic,North,Monthly,25,153.75,1,10,1
390,Pro,West,Monthly,29,121.76,2,6,1
391,Pro,West,Monthly,45,54.41,1,17,0
392,Basic,North,Annual,45,99.43,1,8,0
393,Pro,East,Monthly,9,55.05,6,13,0
394,Pro,East,Monthly,17,26.71,3,13,1
395,Basic,North,Annual,31,110.59,2,11,1
396,Basic,West,Monthly,20,114.8,0,10,0
397,Pro,West,Monthly,2,,2,11,1
398,Basic,East,Annual,50,65.9,1,12,0
399,Basic,East,Monthly,44,75.0,5,15,0
400,Basic,South,Monthly,31,102.49,1,10,1
401,Basic,West,Annual,19,91.74,0,14,0
402,Enterprise,South,Monthly,50,68.19,3,11,0
403,Pro,West,Monthly,3,31.43,1,10,0
404,Basic,North,Monthly,27,83.42,1,10,0
405,Enterprise,North,Monthly,48,112.37,2,7,0
406,Pro,West,Annual,57,44.07,0,11,0
407,Basic,South,Monthly,15,99.16,3,19,0
408,Pro,South,Monthly,39,89.95,2,12,0
409,Basic,West,Monthly,12,102.5,0,17,0
410,Enterprise,North,Annual,7,106.16,1,7,0
411,Pro,,Monthly,21,59.17,1,13,0
412,Pro,South,Monthly,53,31.49,1,10,0
413,Basic,North,Monthly,41,63.99,0,14,0
414,Pro,West,Monthly,29,106.67,2,5,0
415,Basic,North,Monthly,17,,0,10,0
416,Basic,North,Annual,9,59.18,0,16,0
417,Basic,East,Monthly,16,25.36,0,12,0
418,Pro,West,Monthly,10,132.58,1,9,1
419,Basic,North,Monthly,12,104.77,3,8,1
420,Enterprise,East,Monthly,41,103.1,1,8,1
421,Pro,East,Monthly,8,109.03,2,15,0
422,Basic,West,Annual,3,97.3,0,13,0
423,Basic,North,Monthly,32,72.67,3,19,0
424,Basic,West,Annual,17,75.09,1,12,0
425,Pro,East,Monthly,27,67.17,3,11,1
426,Pro,West,Monthly,9,159.04,2,12,1
427,Basic,South,Monthly,13,96.68,2,11,0
428,Pro,West,Monthly,27,66.09,0,11,0
429,Basic,East,Monthly,41,93.96,1,9,0
430,Pro,North,Annual,25,49.67,1,10,0
431,Enterprise,West,Annual,32,125.14,0,7,0
432,Pro,West,Annual,31,60.17,0,8,0
433,Pro,South,Annual,16,95.03,0,12,0
434,Pro,East,Monthly,17,,0,11,0
435,Basic,South,Monthly,26,91.54,2,8,0
436,Basic,East,Monthly,2,82.83,3,11,1
437,Basic,West,Annual,41,80.32,1,11,0
438,Basic,West,Monthly,37,78.31,3,11,0
439,Pro,North,Monthly,19,,3,9,0
440,Pro,West,Monthly,23,66.52,1,12,0
441,Pro,South,Monthly,20,124.39,3,15,0
442,Basic,East,Annual,39,76.74,1,5,0
443,Pro,West,Monthly,45,56.43,0,16,0
444,Basic,South,Monthly,7,64.51,1,7,0
445,Basic,South,Annual,25,113.01,1,13,0
446,Pro,South,Monthly,1,100.27,2,14,0
447,Enterprise,West,Monthly,27,96.81,3,10,0
448,Pro,South,Monthly,15,72.27,1,16,0
449,Basic,South,Monthly,20,97.2,1,15,0
450,Pro,South,Monthly,27,60.69,2,6,0
451,Basic,North,Monthly,20,72.21,1,12,0
452,Pro,South,Monthly,24,109.09,2,15,0
453,Pro,North,Monthly,46,106.23,2,12,0
454,Basic,North,Monthly,48,50.54,2,10,0
455,Basic,East,Annual,1,54.33,3,16,0
456,Basic,North,Monthly,23,83.26,0,17,0
457,Enterprise,East,Monthly,50,131.78,1,11,0
458,Basic,,Monthly,32,22.53,1,7,0
459,Pro,East,Monthly,13,88.35,1,10,0
460,Pro,South,Annual,36,38.72,0,9,0
461,Pro,North,Monthly,9,60.97,3,13,0
462,Basic,West,Monthly,2,69.07,0,14,0
463,Enterprise,West,Monthly,38,67.38,1,4,0
464,Basic,East,Annual,31,63.99,3,14,0
465,Pro,North,Monthly,45,80.22,1,8,0
466,Pro,North,Annual,21,63.94,3,15,0
467,Pro,South,Monthly,51,36.13,1,12,0
468,Enterprise,North,Monthly,25,103.4,1,12,0
469,Basic,West,Annual,44,,1,14,0
470,Basic,,Monthly,6,105.3,2,8,0
471,Basic,South,Monthly,6,33.78,0,13,0
472,Basic,West,Monthly,47,,1,11,0
473,Basic,West,Monthly,50,100.28,0,10,1
474,Basic,North,Monthly,56,49.06,1,9,0
475,Basic,South,Monthly,20,80.28,1,15,1
476,Basic,East,Monthly,2,76.51,3,19,0
477,Basic,East,Monthly,58,135.26,3,7,0
478,Pro,West,Monthly,36,137.73,0,14,0
479,Pro,West,Annual,15,30.07,2,12,0
480,Basic,West,Monthly,46,154.82,2,12,0
481,Basic,North,Monthly,54,52.54,0,14,0
482,Basic,North,Monthly,17,109.42,0,10,1
483,Pro,East,Monthly,46,109.11,3,15,0
484,Basic,North,Monthly,47,50.13,0,15,0
485,Basic,South,Annual,30,94.8,0,13,0
486,Basic,North,Annual,38,76.77,3,9,0
487,Basic,West,Monthly,16,96.63,2,15,0
488,Basic,North,Annual,55,86.92,2,17,0
489,Pro,North,Annual,59,115.89,2,6,0
490,Pro,North,Annual,58,82.26,1,7,0
491,Pro,North,Annual,44,74.96,2,12,0
492,Pro,East,Monthly,3,112.88,1,9,0
493,Pro,South,Monthly,22,97.41,2,12,1
494,Basic,West,Monthly,27,101.95,0,13,0
495,Pro,South,Monthly,57,60.06,3,9,0
496,Basic,East,Annual,33,48.64,1,8,0
497,Basic,East,Monthly,32,62.97,2,13,0
498,Pro,East,Monthly,9,61.38,0,7,1
499,Basic,West,Annual,47,103.59,0,15,0
500,Basic,North,Monthly,20,109.28,0,13,0
501,Pro,East,Annual,6,75.35,0,2,0
502,Pro,West,Monthly,59,122.93,2,9,0
503,Enterprise,West,Monthly,12,121.05,1,12,1
504,Basic,East,Monthly,1,87.3,1,9,0
505,Basic,East,Monthly,5,55.34,1,10,1
506,Pro,,Monthly,27,127.26,1,5,0
507,Basic,East,Monthly,7,78.17,2,10,0
508,Pro,West,Monthly,50,83.78,0,14,0
509,Basic,North,Monthly,31,69.81,3,12,0
510,Basic,South,Annual,20,,1,7,0
511,Basic,North,Monthly,1,35.94,2,11,0
512,Pro,North,Monthly,29,98.99,1,13,0
513,Basic,South,Monthly,9,56.5,1,20,0
514,Basic,North,Annual,58,171.79,2,10,0
515,Basic,South,Annual,18,47.42,1,19,0
516,Basic,South,Annual,29,42.28,2,20,0
517,Basic,East,Annual,2,95.3,0,13,0
518,Pro,West,Monthly,8,,2,12,0
519,Basic,West,Monthly,13,81.94,0,11,0
520,Pro,South,Monthly,4,97.17,2,17,1
521,Pro,South,Annual,43,24.69,2,18,0
522,Basic,West,Monthly,56,59.67,3,14,0
523,Basic,North,Monthly,59,47.79,1,16,0
524,Pro,East,Annual,16,23.15,1,16,0
525,Basic,South,Annual,47,83.51,1,8,0
526,Basic,North,Annual,30,12.72,3,10,0
527,Enterprise,East,Monthly,3,40.33,1,6,1
528,Enterprise,South,Monthly,6,63.88,4,13,0
529,Pro,North,Monthly,33,55.06,1,9,0
530,Basic,East,Monthly,25,91.89,0,9,0
531,Pro,North,Monthly,1,89.17,1,8,0
532,Pro,East,Monthly,55,106.81,3,14,0
533,Basic,North,Annual,44,102.57,3,13,0
534,Pro,South,Monthly,30,114.22,0,18,0
535,Basic,West,Monthly,59,79.94,2,10,0
536,Basic,North,Annual,58,89.1,1,14,0
537,Basic,West,Monthly,58,95.35,2,17,0
538,Basic,East,Monthly,16,,3,16,1
539,Basic,West,Monthly,52,68.08,1,10,0
540,Pro,,Monthly,30,70.03,2,8,0
541,Enterprise,East,Annual,43,55.47,0,14,0
542,Pro,West,Monthly,51,92.65,1,8,0
543,Pro,West,Monthly,10,77.18,4,12,0
544,Enterprise,North,Annual,27,60.1,3,6,0
545,Basic,West,Monthly,8,60.13,1,13,1
546,Basic,North,Annual,17,43.69,2,12,0
547,Basic,East,Monthly,25,109.37,1,17,0
548,Basic,South,Annual,51,82.36,2,11,0
549,Pro,East,Monthly,51,54.12,0,15,0
550,Basic,East,Monthly,24,104.26,1,5,0
551,Basic,North,Annual,20,63.19,1,7,0
552,Basic,East,Annual,32,37.8,1,9,0
553,Basic,West,Monthly,54,110.64,0,15,0
554,Enterprise,South,Monthly,58,63.89,2,12,0
555,Basic,South,Monthly,14,67.73,2,16,0
556,Basic,West,Annual,12,81.24,1,14,0
557,Basic,North,Annual,42,114.28,0,15,0
558,Basic,South,Monthly,18,80.6,3,10,1
559,Pro,East,Monthly,12,44.03,1,8,0
560,Basic,South,Monthly,2,96.32,1,19,1
561,Basic,West,Annual,24,65.45,1,9,1
562,Basic,South,Monthly,24,136.64,1,11,0
