order_date,category,channel,units_sold,unit_price,discount_pct,marketing_spend,revenue
2023-10-02,Apparel,Wholesale,17,27.19,0,718.44,624.08
2023-04-04,Home,Wholesale,131,28.81,10,640.61,4360.58
2024-03-24,Electronics,Online,313,21.76,0,733.7,8027.86
2023-02-13,Electronics,Online,285,31.94,0,354.97,10250.66
2024-06-25,Toys,Online,110,35.56,10,660.77,4544.61
2023-05-19,Toys,Online,39,34.96,0,199.46,1566.26
2023-06-07,Toys,Retail,450,29.28,20,326.1,11041.83
2024-06-15,Grocery,Online,279,34.39,20,525.2,8197.81
2024-06-24,Apparel,Wholesale,290,33.71,5,632.64,9468.35
2023-02-27,Electronics,Retail,38,51.77,5,835.8,2384.36
2023-03-07,Grocery,Online,112,37.18,0,451.99,5293.39
2024-05-27,Apparel,Wholesale,45,24.11,10,326.85,886.22
2024-08-09,Electronics,Wholesale,489,15.88,0,316.57,7382.26
2023-10-21,Electronics,Retail,387,22.39,15,362.43,6623.22
2023-04-09,Home,Retail,277,21.68,20,944.21,6114.55
2023-04-02,Toys,Wholesale,343,30.11,0,651.37,12466.08
2023-06-09,Apparel,Retail,91,18.0,10,722.51,1854.82
2024-02-16,Toys,Wholesale,494,36.92,5,452.2,19820.31
2023-02-27,Apparel,Online,263,11.1,5,499.67,3313.11
2024-01-20,Grocery,Retail,263,8.67,0,639.85,2791.55
2024-04-27,Apparel,Retail,480,23.65,10,398.84,11758.1
2023-03-28,Grocery,Online,57,16.57,0,441.74,1646.01
2024-08-13,Apparel,Online,217,12.42,15,365.06,2512.99
2024-08-15,Grocery,Online,53,18.63,5,410.5,380.9
2023-06-28,Home,Online,218,17.39,5,509.8,4119.25
2023-03-09,Electronics,Online,140,25.1,15,335.66,3144.54
2023-07-15,Apparel,Online,235,18.8,10,557.2,4183.54
2023-06-05,Apparel,Retail,353,19.61,5,556.92,7425.47
2023-06-17,Home,Retail,147,24.95,5,464.15,3880.08
2024-07-08,Apparel,Retail,35,35.14,5,334.51,1564.08
2023-04-03,Home,Online,89,39.71,0,520.99,4696.91
2023-07-10,Toys,Retail,360,26.48,15,399.02,8015.55
2024-04-17,Grocery,Online,293,27.26,0,509.32,9300.75
2023-02-04,Apparel,Online,489,23.17,5,719.63,12242.95
2023-02-06,Grocery,Retail,448,29.81,10,249.41,12827.41
2023-07-01,Toys,Wholesale,88,28.9,0,934.7,3151.97
2024-08-03,Apparel,Wholesale,370,38.26,15,485.5,11845.33
2024-05-18,Apparel,Retail,54,6.11,0,582.37,377.7
2024-07-10,Electronics,Retail,57,22.66,0,349.45,1438.03
2024-06-02,Toys,Retail,398,28.39,5,728.44,11900.53
2023-03-13,Toys,Retail,206,24.74,5,474.87,6509.63
2023-08-29,Home,Online,498,15.61,15,421.18,5947.03
2023-11-14,Toys,Online,12,12.01,5,384.9,285.98
2023-04-10,Grocery,Wholesale,256,33.06,0,446.3,9766.52
2024-08-18,Toys,Wholesale,160,17.43,0,583.67,2949.23
2023-12-28,Toys,Online,492,7.45,0,534.56,4143.38
2024-05-26,Toys,Online,337,33.57,5,492.03,11802.59
2023-06-05,Apparel,Online,388,29.59,0,357.72,12825.19
2024-03-05,Grocery,Online,152,23.84,5,346.17,4265.12
2023-03-05,Electronics,Online,448,15.85,15,407.83,7424.76
2023-01-14,Toys,Retail,421,23.87,5,592.06,10263.57
2024-01-20,Apparel,Online,394,37.16,10,632.45,14422.54
2023-02-11,Home,Online,243,8.85,0,659.41,2827.46
2023-06-15,Home,Online,461,9.36,10,499.71,4884.87
2024-04-21,Grocery,Retail,337,18.72,0,576.71,7691.89
2023-10-26,Grocery,Online,42,24.73,5,466.31,1227.94
2023-08-14,Toys,Online,443,20.04,0,151.54,7957.52
2023-06-24,Grocery,Retail,20,31.43,0,456.81,851.59
2024-02-06,Grocery,Retail,344,35.89,0,424.93,13858.16
2024-07-26,Home,Online,132,27.79,0,292.19,3915.28
2024-03-19,Home,Retail,449,30.6,15,386.52,13494.97
2023-08-04,Toys,Online,367,27.72,0,527.02,9804.06
2023-09-11,Apparel,Retail,405,25.1,20,273.35,7257.52
2023-03-03,Grocery,Online,352,12.06,5,357.84,4956.28
2023-03-28,Apparel,Wholesale,287,14.72,0,809.58,4992.01
2023-06-10,Home,Wholesale,433,11.49,0,179.46,5112.58
2023-08-21,Apparel,Retail,155,23.51,0,463.36,3188.41
2024-08-17,Apparel,Wholesale,268,27.32,10,266.74,6093.55
2024-06-06,Toys,Online,156,10.51,0,349.67,1750.1
2023-03-09,Grocery,Retail,65,25.73,15,460.45,1837.39
2023-07-18,Grocery,Online,438,16.25,0,302.48,6704.42
2023-02-03,Electronics,Online,253,14.31,0,614.79,4291.12
2023-02-07,Apparel,Retail,36,18.75,0,770.23,1015.53
2023-08-13,Apparel,Retail,414,13.8,10,668.34,5390.18
2024-07-29,Grocery,Retail,471,31.07,5,704.92,13632.02
2023-04-22,Toys,Wholesale,334,23.32,15,224.05,7775.71
2024-02-13,Apparel,Retail,170,33.15,0,451.39,6486.49
2023-08-24,Apparel,Wholesale,431,20.57,0,593.48,7672.59
2023-11-21,Home,Wholesale,372,20.94,10,674.24,6741.31
2024-06-05,Toys,Retail,149,43.73,5,850.67,7038.25
2024-05-12,Apparel,Online,171,8.77,10,713.81,2147.52
2024-05-11,Apparel,Retail,494,37.84,5,679.3,20525.14
2023-09-04,Home,Retail,477,41.55,10,1026.72,16362.73
2023-01-30,Toys,Wholesale,341,32.66,0,519.26,12755.75
2024-08-14,Grocery,Online,27,21.7,20,442.19,603.37
2024-08-19,Home,Online,122,39.27,0,535.47,4496.78
2024-05-29,Grocery,Online,183,21.78,10,316.99,4438.5
2023-10-14,Electronics,Online,272,17.94,0,513.53,4626.82
2023-06-18,Grocery,Retail,435,21.12,10,154.63,8606.13
2023-04-15,Electronics,Online,425,19.3,15,394.1,8858.32
2023-08-11,Apparel,Online,144,15.53,15,476.93,2273.24
2023-07-20,Apparel,Retail,63,36.1,5,689.93,2554.62
2023-06-15,Grocery,Online,145,17.27,5,722.22,2851.6
2024-07-24,Apparel,Online,125,24.7,10,307.28,3259.4
2024-01-31,Apparel,Retail,450,10.56,5,915.21,5652.91
2023-05-14,Toys,Retail,16,25.31,5,529.67,858.64
2024-01-19,Home,Wholesale,416,13.44,0,548.01,6501.59
2024-02-28,Grocery,Retail,331,13.2,5,176.46,5084.81
2023-11-10,Home,Wholesale,61,23.91,0,375.99,1755.42
2024-07-22,Grocery,Online,345,35.57,10,709.96,11282.12
2024-08-02,Grocery,Retail,294,29.4,0,533.96,8520.85
2023-09-17,Grocery,Retail,11,30.09,5,521.56,852.34
2023-10-11,Toys,Retail,119,23.7,10,545.43,2380.07
2023-05-11,Grocery,Online,180,21.64,5,211.36,4843.29
2024-04-15,Apparel,Online,115,32.91,15,480.68,3698.62
2024-07-12,Electronics,Online,293,19.37,0,781.67,6228.04
2024-01-30,Toys,Retail,311,33.34,5,717.34,10752.27
2023-05-01,Apparel,Retail,93,37.36,5,474.96,4083.22
2023-11-07,Apparel,Online,70,16.59,5,812.73,1449.06
2024-04-21,Electronics,Retail,331,18.06,10,248.18,6375.79
2023-01-26,Home,Retail,240,19.54,0,305.66,5340.89
2023-12-21,Home,Retail,139,10.33,5,872.72,1739.46
2024-01-30,Toys,Online,135,20.31,0,615.59,3428.45
2023-11-19,Grocery,Wholesale,29,38.01,5,442.22,1714.68
2024-01-21,Grocery,Retail,428,14.54,10,488.94,5895.22
2024-06-21,Home,Retail,422,38.25,0,338.67,16555.28
2023-03-16,Toys,Retail,281,20.67,5,555.32,7015.64
2023-12-09,Toys,Retail,181,46.14,5,539.48,7944.16
2024-04-22,Toys,Online,115,18.18,10,503.98,2592.99
2024-05-08,Apparel,Wholesale,160,23.56,0,268.05,4741.44
2023-10-08,Apparel,Online,463,15.9,5,552.95,6156.44
2024-08-21,Electronics,Retail,53,18.12,10,394.1,923.57
2023-07-14,Toys,Wholesale,413,38.38,5,302.8,14630.62
2023-09-22,Grocery,Retail,159,29.75,10,753.35,4124.39
2024-05-09,Toys,Retail,139,35.29,0,933.94,6633.09
2023-09-21,Grocery,Online,406,11.84,15,888.52,3682.51
2023-07-26,Home,Online,480,31.55,0,630.02,14364.92
2023-11-30,Electronics,Retail,495,15.29,0,446.88,6935.02
2024-01-09,Electronics,Online,141,11.63,5,485.93,2403.12
2024-08-04,Grocery,Online,299,27.39,5,581.12,7410.13
2024-01-06,Apparel,Wholesale,153,27.29,5,415.95,4262.66
2023-04-22,Apparel,Online,104,25.53,0,763.76,3155.05
2023-02-01,Toys,Online,199,32.18,0,92.85,6901.85
2024-08-03,Home,Online,40,33.74,10,440.85,1728.32
2023-09-11,Toys,Retail,90,39.7,0,660.21,3672.32
2023-05-01,Home,Online,301,13.1,10,330.97,4245.6
2023-05-14,Toys,Retail,346,40.02,5,451.97,14511.34
2023-03-05,Electronics,Retail,142,43.82,0,618.73,7451.27
2023-04-30,Apparel,Online,283,21.34,10,803.65,6840.31
2024-04-13,Electronics,Online,384,8.32,15,241.21,3008.75
2024-01-28,Electronics,Online,448,11.17,10,226.39,5194.28
2023-12-26,Toys,Retail,288,20.38,0,310.79,6304.19
2023-01-07,Home,Online,128,45.14,5,192.49,5583.33
2024-02-08,Apparel,Online,359,25.17,15,206.72,8779.99
2024-08-04,Apparel,Online,93,18.83,5,305.47,1735.97
2024-07-07,Apparel,Online,78,18.15,0,746.7,2333.96
2023-08-26,Electronics,Retail,185,11.77,0,437.58,2871.59
2023-12-27,Toys,Online,171,33.75,10,506.28,5214.14
2023-06-29,Electronics,Wholesale,81,24.08,10,308.91,2245.29
2024-06-17,Apparel,Online,35,46.0,15,626.71,2309.03
2024-07-05,Electronics,Retail,473,31.28,15,875.15,12843.2
2023-05-14,Toys,Retail,341,33.3,0,322.47,12705.06
2023-10-20,Apparel,Online,361,22.58,5,844.95,7144.18
2023-05-22,Apparel,Retail,42,14.09,0,572.88,1067.36
2024-01-04,Grocery,Wholesale,400,16.26,0,503.37,6866.86
2023-06-25,Home,Retail,188,11.31,0,580.02,2567.08
2024-02-22,Apparel,Wholesale,376,34.1,15,578.11,12904.62
2024-08-11,Home,Retail,250,21.15,0,871.42,4897.85
2024-06-06,Home,Online,128,34.53,5,604.04,4648.8
2023-04-20,Apparel,Wholesale,138,26.36,5,608.22,4635.16
2023-03-19,Home,Online,78,22.07,0,415.7,2471.33
2024-05-03,Apparel,Retail,416,13.3,5,667.82,6139.88
2023-02-18,Toys,Retail,220,28.02,0,308.63,7269.55
2023-08-29,Home,Wholesale,392,22.81,0,521.8,8625.39
2024-08-19,Grocery,Wholesale,416,34.02,5,1076.66,12777.05
2023-09-26,Apparel,Online,91,17.85,10,0.0,941.03
2023-01-06,Grocery,Retail,171,31.16,10,546.63,5569.43
2024-08-08,Home,Online,70,41.41,10,554.32,3329.23
2024-02-29,Grocery,Retail,14,27.73,0,454.38,535.87
2023-07-18,Home,Retail,493,32.85,0,459.1,15898.82
2024-01-02,Grocery,Online,333,30.72,5,518.28,10510.09
2024-01-03,Electronics,Retail,231,43.98,20,449.6,8584.68
2023-11-28,Grocery,Online,108,28.72,0,544.4,2761.24
2024-07-30,Grocery,Retail,299,32.0,0,402.48,9328.25
2024-04-16,Home,Wholesale,275,24.64,15,904.48,7022.21
2023-06-05,Electronics,Retail,119,17.26,15,449.6,1840.11
2024-08-18,Home,Retail,17,12.92,0,613.92,168.09
2024-07-31,Grocery,Online,239,37.67,10,366.19,8146.31
2023-01-29,Home,Online,259,14.92,5,686.63,4233.41
2023-06-28,Electronics,Online,401,32.46,5,646.69,13098.58
2024-01-04,Apparel,Online,202,29.16,5,583.85,6294.28
2024-06-11,Toys,Online,57,34.18,20,294.53,1920.21
2024-03-06,Apparel,Retail,441,19.85,0,349.52,10312.99
2023-12-11,Home,Retail,212,17.09,10,837.23,3877.91
2023-07-03,Apparel,Online,363,28.78,0,347.31,10729.35
2023-02-28,Grocery,Retail,31,22.08,5,628.18,1007.61
2024-06-19,Home,Wholesale,27,12.69,10,311.07,311.61
2023-11-16,Apparel,Online,21,44.39,10,701.68,1280.46
2023-10-02,Home,Retail,396,17.09,15,362.72,5142.09
2024-08-10,Home,Online,127,15.06,10,307.36,1930.78
2023-04-09,Home,Retail,397,22.58,10,357.53,9883.96
2023-06-02,Apparel,Retail,472,37.53,0,389.24,19424.99
2024-05-27,Electronics,Online,335,3.33,20,580.93,1189.02
2023-06-20,Grocery,Online,493,36.7,5,513.88,17457.37
2024-07-19,Apparel,Wholesale,465,15.89,5,280.97,6686.2
2024-05-29,Grocery,Online,364,27.65,5,494.41,10316.87
2023-03-01,Apparel,Retail,403,18.24,0,271.3,8295.13
2023-10-02,Toys,Retail,305,44.92,5,628.71,11639.21
2024-03-27,Grocery,Online,117,26.25,0,665.38,4088.29
2023-10-21,Home,Retail,60,17.92,0,495.21,1877.05
2023-05-10,Apparel,Retail,196,21.99,15,554.33,4684.18
2023-01-28,Grocery,Online,242,25.9,15,850.42,6950.93
2023-01-05,Electronics,Wholesale,181,26.78,5,468.48,5253.48
2023-04-17,Electronics,Online,59,29.39,20,311.15,2162.39
2023-06-06,Electronics,Retail,257,24.99,5,615.84,6876.8
2023-07-01,Apparel,Online,254,11.23,0,273.47,2753.44
2024-05-27,Home,Online,477,21.6,15,457.89,9726.35
2023-11-02,Apparel,Retail,477,31.07,5,380.2,12581.23
2023-03-26,Electronics,Retail,311,18.3,10,359.64,5985.23
2023-02-19,Apparel,Online,426,31.73,5,449.98,14360.66
2023-03-20,Home,Retail,163,25.32,5,679.98,5164.81
2023-07-08,Apparel,Retail,484,22.82,0,721.13,11138.84
2024-03-19,Home,Online,471,36.94,20,685.24,16048.33
2023-01-30,Apparel,Retail,71,7.62,0,567.27,698.26
2023-09-01,Toys,Retail,353,18.25,5,448.46,5609.65
2023-09-26,Toys,Retail,234,37.32,0,28.44,7153.15
2023-03-31,Grocery,Retail,140,43.3,5,573.53,7012.91
2023-02-05,Home,Retail,211,47.86,0,44.13,11193.15
2023-05-19,Electronics,Wholesale,454,25.5,10,115.33,11749.75
2023-04-02,Grocery,Retail,462,29.58,5,467.67,15105.81
2024-04-21,Apparel,Online,178,33.17,0,552.92,6785.56
2024-07-04,Apparel,Online,236,37.75,0,409.78,8986.59
2024-01-09,Grocery,Wholesale,262,28.13,0,807.11,8382.92
2024-03-31,Electronics,Wholesale,369,34.26,10,592.42,13825.08
2024-04-01,Apparel,Online,244,29.6,10,450.12,7941.08
2024-06-10,Grocery,Online,204,30.22,0,777.26,7468.37
2023-02-28,Toys,Online,462,15.82,5,813.02,8997.29
2024-08-21,Home,Wholesale,192,21.71,0,602.51,4021.96
2023-10-02,Home,Wholesale,140,19.77,15,344.95,2721.72
2023-11-22,Toys,Retail,170,13.11,20,389.95,1849.59
2024-04-23,Electronics,Online,173,8.48,10,210.65,1977.97
2023-10-24,Home,Wholesale,282,20.76,0,491.52,5650.17
2023-06-09,Apparel,Online,333,22.36,5,289.99,7115.07
2023-01-12,Home,Online,75,26.05,20,434.19,1668.54
2023-04-12,Toys,Online,444,30.56,0,552.12,15644.94
2023-02-20,Home,Retail,134,26.88,10,103.26,3163.67
2023-08-18,Toys,Retail,66,22.43,15,247.25,1582.56
2024-04-12,Home,Online,337,15.85,10,398.63,6453.41
2023-07-20,Toys,Online,112,33.77,5,489.49,3739.88
2023-12-25,Electronics,Retail,377,23.98,5,401.22,9027.42
2023-04-22,Apparel,Online,474,20.66,15,445.9,10296.37
2023-12-21,Apparel,Online,349,23.14,0,358.76,8212.88
2024-07-26,Grocery,Online,390,17.67,15,210.12,5646.63
2023-07-09,Home,Online,252,19.69,5,393.05,4865.06
2023-10-17,Apparel,Online,179,19.38,10,457.37,3198.73
2024-07-31,Electronics,Retail,310,22.13,15,437.92,6007.47
2023-12-31,Apparel,Online,185,31.56,5,522.36,6099.52
2023-08-28,Electronics,Online,439,29.07,0,583.78,11759.79
2023-03-14,Grocery,Retail,240,40.47,0,636.35,11591.74
2024-07-16,Toys,Online,254,37.12,10,373.29,7973.64
2024-01-02,Toys,Retail,340,44.56,5,184.84,14884.33
